hs6,hs4,품목명,HHI,1위국,1위국비중,수입액합계,위험등급,비고,거래레코드수,신뢰도
680919,6809,플라스터(plaster) 제품이나 플라스터(plaster)를 기본 재료로 조합한 제품 (기타),0.3211233092883606,독일,0.394731449648232,131763,RED,202606 단월 실측,48,정상
680990,6809,그 밖의 제품,0.6682975497364618,중국,0.8103537438419176,110221,RED,202606 단월 실측,71,정상
681320,6813,"마찰 재료와 그 제품[예: 시트(sheet)ㆍ롤ㆍ스트립(strip)ㆍ세그먼트ㆍ디스크(disc)ㆍ와셔(washer)ㆍ패드](장착되지 않은 것으로서 브레이크용ㆍ클러치용이나 이와 유사한 용도의 석면ㆍ그 밖의 광물성 재료ㆍ셀룰로오스를 기본 재료로 한 것으로 한정하며, 직물이나 그 밖의 재료와 결합한 것인지에 상관없다) (석면을 함유한 것)",1.0,중국,1.0,100,RED,202606 단월 실측,2,저신뢰(소액/소건수)
681381,6813,브레이크 라이닝(brake lining)과 패드,0.2433140483702401,독일,0.3356876734353139,517484,RED,202606 단월 실측,130,정상
701322,7013,"유리제품(식탁용ㆍ주방용ㆍ화장실용ㆍ사무용ㆍ실내장식용이나 이와 유사한 용도로 한정하며, 제7010호나 제7018호의 것은 제외한다) (납 크리스탈로 만든 것)",0.7921300403671171,독일,0.888197695315714,461842,RED,202606 단월 실측,80,정상
701333,7013,"유리제품(식탁용ㆍ주방용ㆍ화장실용ㆍ사무용ㆍ실내장식용이나 이와 유사한 용도로 한정하며, 제7010호나 제7018호의 것은 제외한다) (납 크리스탈로 만든 것)",0.6478757803260591,프랑스,0.7967252249173156,190181,RED,202606 단월 실측,77,정상
701341,7013,"유리제품(식탁용ㆍ주방용ㆍ화장실용ㆍ사무용ㆍ실내장식용이나 이와 유사한 용도로 한정하며, 제7010호나 제7018호의 것은 제외한다) (납 크리스탈로 만든 것)",0.4449895499042495,중국,0.5243252535671308,5817,RED,202606 단월 실측,57,저신뢰(소액/소건수)
701391,7013,"유리제품(식탁용ㆍ주방용ㆍ화장실용ㆍ사무용ㆍ실내장식용이나 이와 유사한 용도로 한정하며, 제7010호나 제7018호의 것은 제외한다) (납 크리스탈로 만든 것)",0.4816273431218724,중국,0.5767146075416337,162909,RED,202606 단월 실측,77,정상
701610,7016,"압축하거나 주형한 유리로 만든 포장(鋪裝)용 블록ㆍ슬래브ㆍ벽돌ㆍ스퀘어(square)ㆍ타일과 그 밖의 제품[망입(網入)한 것인지에 상관없으며 건축용이나 건설용으로 한정한다], 유리로 만든 입방체와 그 밖의 유리 세공품(뒷면을 보강한지에 상관없으며 모자이크용이나 이와 유사한 장식용으로 한정한다), 레드라이트(leaded light)와 이와 유사한 것, 블록(block)ㆍ패널(panel)ㆍ플레이트(plate)ㆍ쉘(shell)이나 이와 유사한 모양의 다공(多孔)유리나 다포(多泡)유리 (유리로 만든 입방체와 그 밖의 유리 세공품(뒷면을 보강한지에 상관없으며 모자이크용이나 이와 유사한 장식용으로 한정한다))",0.5225619841657454,스페인,0.6842061117790141,35767,RED,202606 단월 실측,41,저신뢰(소액/소건수)
720310,7203,철광석을 직접 환원하여 제조한 철제품,1.0,중국,1.0,17262,RED,202606 단월 실측,12,저신뢰(소액/소건수)
721011,7210,철이나 비합금강의 평판압연제품[폭이 600밀리미터 이상인 것으로서 클래드(clad)ㆍ도금ㆍ도포한 것으로 한정한다] (두께가 0.5밀리미터 이상인 것),0.7140052241132755,일본,0.8271125372966278,124341,RED,202606 단월 실측,23,정상
721020,7210,납을 도금하거나 도포한 것(함석판을 포함한다),0.9448822448930724,미국,0.971636642391721,15654,RED,202606 단월 실측,21,저신뢰(소액/소건수)
721050,7210,철이나 비합금강의 평판압연제품[폭이 600밀리미터 이상인 것으로서 클래드(clad)ㆍ도금ㆍ도포한 것으로 한정한다] (산화크로뮴이나 크로뮴과 산화크로뮴으로 도금하거나 도포한 것),0.4284546534291891,영국,0.5234039799385213,463575,RED,202606 단월 실측,21,정상
721090,7210,철이나 비합금강의 평판압연제품[폭이 600밀리미터 이상인 것으로서 클래드(clad)ㆍ도금ㆍ도포한 것으로 한정한다] (니켈을 도금하거나 도포한 것),0.2063535657313942,노르웨이,0.3054594450941241,7040221,RED,202606 단월 실측,92,정상
721320,7213,기타[쾌삭강(快削鋼)의 것으로 한정한다],0.9476771532536944,일본,0.9731621276266442,3178866,RED,202606 단월 실측,54,정상
721310,7213,철이나 비합금강의 봉[열간(熱間)압연한 것으로서 불규칙적으로 감은 코일 모양인 것으로 한정한다] (압연공정에서 발생하는 톱니모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것),0.4412713613814767,중국,0.4982210649758502,50311,RED,202606 단월 실적 0 -> 12개월 합산치로 대체계산,4,정상
740811,7408,구리의 선 (횡단면의 최대치수가 6밀리미터를 초과하는 것),0.3713044141081303,베트남,0.4822882447230419,2297062,RED,202606 단월 실측,62,정상
780411,7804,시트(sheet)ㆍ스트립,0.8545109166267962,독일,0.9227536576258528,147295,RED,202606 단월 실측,34,정상
780419,7804,"납의 판ㆍ시트(sheet)ㆍ스트립ㆍ박(箔), 가루와 플레이크(flake) (기타)",1.0,영국,1.0,3887,RED,202606 단월 실측,19,저신뢰(소액/소건수)
