hs4,품목명,수입액합계,수입국수,HHI,1위국,1위국코드,1위국비중,건당수입액,레코드수,위험등급
8007,주석으로 만든 그 밖의 제품,30168163.0,23,0.8262,일본,JP,0.908,367904,82,RED
2604,니켈광과 그 정광(精鑛),81920280.0,9,0.8244,뉴 칼레도니아,NC,0.9028,5461352,15,RED
6901,벽돌ㆍ블록ㆍ타일과 그 밖의 도자제품[규조토(예: 키절구어(kieselguhr)ㆍ트리폴리트(tripolite)ㆍ다이어토마이트(diatomite))나 이와 유사한 규산질의 흙으로 제조한 것으로 한정한다],3269145.0,10,0.8104,중국,CN,0.898,81729,40,RED
6802,대리석ㆍ트래버틴(travertine)ㆍ설화석고(alabaster),158165320.0,39,0.8094,중국,CN,0.8988,465192,340,RED
7226,기타,160411866.0,17,0.7902,프랑스,FR,0.8865,1021732,157,RED
7210,기타,628454392.0,38,0.7851,중국,CN,0.8825,2407871,261,RED
7203,기타,12081480.0,6,0.784,말레이시아,MY,0.8828,464672,26,RED
4004,고무의 웨이스트(waste)ㆍ페어링(paring)ㆍ스크랩(scrap)[경질(硬質)고무인 것은 제외한다]과 이들의 가루와 알갱이,3711399.0,10,0.7788,미국,US,0.8786,103094,36,RED
7804,시트(sheet)ㆍ스트립ㆍ박(箔)[두께(보강재의 두께는 제외한다)가 0.2밀리미터 이하인 것으로 한정한다],5792536.0,9,0.7631,호주,AU,0.8666,134710,43,RED
2706,석탄ㆍ갈탄ㆍ토탄을 증류해서 얻은 타르와 그 밖의 광물성 타르(탈수나 부분 증류한 것과 재구성한 타르를 포함한다),21235255.0,5,0.7603,인도네시아,ID,0.8668,1633481,13,RED
7402,정제하지 않은 구리와 전해정제용 구리 양극,401078282.0,10,0.751,칠레,CL,0.8607,16043131,25,RED
7607,뒷면을 붙인 것,260097499.0,42,0.7477,중국,CN,0.8626,956241,272,RED
3826,바이오디젤과 그 혼합물[석유나 역청유(瀝靑油)를 함유하지 않거나 중량기준으로 70 퍼센트 미만을 함유한 것으로 한정한다],24746129.0,9,0.7477,중국,CN,0.8605,989845,25,RED
2849,기타,179350672.0,22,0.7438,중국,CN,0.86,1390315,129,RED
6810,기타,41702202.0,33,0.7286,중국,CN,0.8496,259020,161,RED
2832,아황산나트륨,8521997.0,15,0.7274,중국,CN,0.8441,74754,114,RED
3825,기타,4062651.0,10,0.7246,중국,CN,0.8475,140091,29,RED
2806,염화수소(염산),10283572.0,15,0.7241,일본,JP,0.8473,133553,77,RED
7325,기타,44561721.0,42,0.7205,중국,CN,0.8462,271718,164,RED
2809,인산과 폴리인산,45929447.0,17,0.7185,중국,CN,0.8397,499233,92,RED
2829,기타,24974457.0,15,0.715,미국,US,0.843,287063,87,RED
7004,그 밖의 유리,85559609.0,12,0.7147,일본,JP,0.8401,1555629,55,RED
6914,기타,17993352.0,41,0.6975,중국,CN,0.8332,78232,230,RED
7227,기타,97211921.0,9,0.697,중국,CN,0.8203,1906116,51,RED
7408,기타,153047346.0,28,0.6917,중국,CN,0.8275,645769,237,RED
7107,은을 입힌 비금속(卑金屬)(반가공한 것보다 더 가공하지 않은 것으로 한정한다),4659941.0,7,0.6854,일본,JP,0.8148,186398,25,RED
2820,이산화망간,3717331.0,12,0.6826,중국,CN,0.8166,61956,60,RED
6809,그 밖의 제품,11653023.0,18,0.6689,베트남,VN,0.8059,149398,78,RED
2927,디아조화합물ㆍ아조화합물ㆍ아족시화합물,23609788.0,19,0.6662,중국,CN,0.8033,347203,68,RED
6801,"포석ㆍ연석ㆍ판석[천연 석재로 한정하며, 슬레이트(slate)는 제외한다]",23551452.0,9,0.6585,중국,CN,0.7828,1177573,20,RED
7217,그 밖의 비금속(卑金屬)을 도금하거나 도포한 것,74910655.0,23,0.657,중국,CN,0.8008,465284,161,RED
7016,기타,4134314.0,15,0.6525,중국,CN,0.79,84374,49,RED
7215,기타,9349509.0,17,0.6447,중국,CN,0.7893,118348,79,RED
6814,판ㆍ시트(sheet)ㆍ스트립(strip)(응결시키거나 재생한 운모의 것으로 한정하며 지지물에 부착한 것인지에 상관없다),18518220.0,18,0.6377,중국,CN,0.7921,185182,100,RED
3702,폭이 35밀리미터를 초과하는 것,89302933.0,16,0.6377,일본,JP,0.7909,318939,280,RED
2708,피치(pitch),5737517.0,6,0.6369,일본,JP,0.785,212501,27,RED
2519,기타,45010201.0,19,0.6363,중국,CN,0.7824,616578,73,RED
2805,기타,19394061.0,19,0.6345,중국,CN,0.775,158968,122,RED
2528,"천연 붕산염과 그 정광(精鑛)[하소(煆燒)한 것인지에 상관없으며 천연 염수(鹽水)에서 분리한 붕산염은 제외한다], 천연 붕산(건조한 상태에서 측정한 붕산의 함유량이 전 중량의 100분의 85 이하인 것으로 한정한다)",1781148.0,5,0.625,튀르키예,TR,0.7575,118743,15,RED
7213,기타[쾌삭강(快削鋼)의 것으로 한정한다],239602343.0,10,0.6242,중국,CN,0.7618,4061057,59,RED
2835,기타,60085720.0,30,0.6178,중국,CN,0.7793,171184,351,RED
7228,그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다],271387736.0,28,0.6122,중국,CN,0.7676,907651,299,RED
2530,기타,102724308.0,36,0.6118,호주,AU,0.7709,778214,132,RED
2938,기타,35551600.0,27,0.604,중국,CN,0.7694,271386,131,RED
3703,기타[천연색 사진용(폴리크롬)으로 한정한다],2732835.0,12,0.6005,네덜란드,NL,0.7482,35036,78,RED
2606,알루미늄광과 그 정광(精鑛),17540762.0,3,0.5989,호주,AU,0.7224,1594615,11,RED
2926,기타,174127186.0,23,0.5963,중국,CN,0.7542,1176535,148,RED
3104,염화칼륨,144421440.0,20,0.5907,캐나다,CA,0.7577,1473688,98,RED
2914,기타,133831343.0,32,0.5905,중국,CN,0.7569,195089,686,RED
3001,기타,55023772.0,67,0.5833,미국,US,0.7441,165734,332,RED
2917,기타,139960337.0,37,0.578,중국,CN,0.7517,244259,573,RED
7301,형강(形鋼),3309364.0,12,0.5742,중국,CN,0.7398,84855,39,RED
7501,소결(燒結)한 산화니켈과 니켈 제련으로 생산된 그 밖의 중간생산물,105879952.0,13,0.5679,인도네시아,ID,0.7228,3529332,30,RED
7014,신호용 유리제품과 유리로 만든 광학소자(제7015호의 것과 광학적으로 가공한 것은 제외한다),6692505.0,20,0.5675,중국,CN,0.7393,99888,67,RED
3604,기타,2456493.0,9,0.5666,중국,CN,0.7181,84707,29,RED
6905,기와(지붕타일),1825092.0,11,0.5603,스페인,ES,0.7353,48029,38,RED
2707,기타,275089053.0,22,0.5589,일본,JP,0.7404,2099916,131,RED
7105,다이아몬드의 것,17948061.0,18,0.5586,중국,CN,0.738,218879,82,RED
7412,구리합금으로 만든 것,43255795.0,42,0.556,중국,CN,0.7338,201190,215,RED
6813,브레이크 라이닝(brake lining)과 패드,13638504.0,30,0.5553,미국,US,0.7314,109988,124,RED
9406,기타,53121480.0,20,0.5509,베트남,VN,0.7035,804871,66,RED
3918,염화비닐의 중합체로 만든 것,29069725.0,34,0.5499,중국,CN,0.7315,195099,149,RED
7214,기타,85140940.0,11,0.5477,중국,CN,0.6631,1091551,78,RED
2518,하소(煆燒)하지 않거나 소결(燒結)하지 않은 백운석(白雲石),1967554.0,6,0.5448,중국,CN,0.6969,72872,27,RED
2839,기타,18780879.0,20,0.5413,중국,CN,0.7241,164745,114,RED
2811,이산화규소,219624941.0,42,0.5391,중국,CN,0.7179,595190,369,RED
3405,기타,83926043.0,34,0.538,일본,JP,0.7032,246841,340,RED
2919,기타,36152120.0,19,0.5327,중국,CN,0.7125,602535,60,RED
6906,도자제의 관(管)ㆍ도관(導管)ㆍ홈통과 관(管)의 연결구류,1126717.0,5,0.53,중국,CN,0.6951,59301,19,RED
7806,납으로 만든 그 밖의 제품,10198475.0,19,0.5285,중국,CN,0.6998,139705,73,RED
2521,"석회석 융제(融劑), 석회석과 그 밖의 석회질의 암석(석회나 시멘트 제조용으로 한정한다)",23652507.0,11,0.527,일본,JP,0.6659,815604,29,RED
2912,기타,28492667.0,32,0.5235,중국,CN,0.7164,69664,409,RED
7802,납의 웨이스트(waste)와 스크랩(scrap),18372296.0,2,0.5199,호주,AU,0.5999,2624614,7,RED
7013,기타,65939563.0,66,0.5176,중국,CN,0.712,67012,984,RED
2920,기타,68961231.0,29,0.5174,중국,CN,0.7043,372763,185,RED
7008,유리로 만든 복층 절연유닛,5040828.0,10,0.5159,중국,CN,0.6766,240039,21,RED
3707,기타,294355590.0,24,0.5157,일본,JP,0.682,2148581,137,RED
3601,화약,7593436.0,5,0.5106,미국,US,0.6916,690312,11,RED
6904,건축용 벽돌,2721450.0,12,0.5079,중국,CN,0.6965,61851,44,RED
2810,붕소의 산화물과 붕산,14320718.0,14,0.5066,미국,US,0.695,213742,67,RED
2601,응결시키지 않은 것,3685007222.0,13,0.5001,호주,AU,0.6815,67000131,55,RED
3103,기타,2798325.0,6,0.4999,베트남,VN,0.5026,147280,19,YELLOW
8549,기타,464568981.0,63,0.4979,미국,US,0.7021,1144259,406,RED
7207,탄소의 함유량이 전 중량의 100분의 0.25 이상인 것,335998478.0,10,0.4927,일본,JP,0.5166,4666646,72,YELLOW
2823,산화티타늄,14099080.0,14,0.4902,중국,CN,0.643,231132,61,YELLOW
7606,알루미늄 합금으로 만든 것,718531301.0,45,0.4881,중국,CN,0.6867,2325344,309,YELLOW
6907,수분흡수계수가 중량기준으로 100분의 0.5 이하인 것,183104403.0,26,0.4875,중국,CN,0.6275,847706,216,YELLOW
2517,"자갈ㆍ왕자갈ㆍ쇄석(碎石)[콘크리트용ㆍ도로포장용ㆍ철도용이나 그 밖의 밸러스트(ballast)용에 일반적으로 사용되는 것으로 한정한다], 싱글(shingle)과 플린트(flint)(열처리한 것인지에 상관없다)",8817402.0,22,0.4868,대만,TW,0.6701,76012,116,YELLOW
7306,기타,90037674.0,42,0.4779,중국,CN,0.6782,232056,388,YELLOW
2611,텅스텐광과 그 정광(精鑛),4017110.0,6,0.4686,몽골,MN,0.6468,502139,8,YELLOW
2507,고령토와 그 밖의 고령토질의 점토[하소(煆燒)한 것인지에 상관없다],22430608.0,23,0.4684,미국,US,0.626,252029,89,YELLOW
2909,기타,227731208.0,40,0.463,중국,CN,0.6656,370295,615,YELLOW
7201,비합금선철(인의 함유량이 전 중량의 100분의 0.5 이하인 것으로 한정한다),21515993.0,5,0.4612,러시아 연방,RU,0.6088,1075800,20,YELLOW
2924,기타,188173637.0,39,0.4537,중국,CN,0.6597,612943,307,YELLOW
7010,기타,88576871.0,50,0.4507,중국,CN,0.6487,398995,222,YELLOW
2713,하소(煆燒)한 것,38422795.0,14,0.4489,미국,US,0.6169,591120,65,YELLOW
7009,틀이 붙은 것,64597569.0,51,0.4483,미국,US,0.4768,173184,373,YELLOW
2816,수산화마그네슘과 과산화마그네슘,14957728.0,12,0.4478,중국,CN,0.6336,207746,72,YELLOW
3813,"소화기용 조제품과 장전물, 장전된 소화탄",4461932.0,19,0.4396,중국,CN,0.6282,82628,54,YELLOW
7224,기타,24474103.0,14,0.4361,일본,JP,0.6106,489482,50,YELLOW
3908,"폴리아미드-6, -11, -12, -6,6, -6,9, -6,10 또는 -6,12",287871524.0,34,0.4349,중국,CN,0.6403,1279429,225,YELLOW
2615,지르코늄광과 그 정광,4021213.0,11,0.4344,남아프리카공화국,ZA,0.5781,143615,28,YELLOW
2828,기타,2125639.0,9,0.4342,중국,CN,0.6005,45226,47,YELLOW
6902,"알루미나(Al2O3)ㆍ실리카(SiO2), 이들의 혼합물이나 화합물의 함유량이 전 중량의 100분의 50을 초과하는 것",66060581.0,23,0.4287,중국,CN,0.6322,550505,120,YELLOW
7208,두께가 3밀리미터 이상 4.75밀리미터 미만인 것,1037621102.0,25,0.4272,일본,JP,0.5614,3857328,269,YELLOW
3705,"사진플레이트와 필름(노광하여 현상한 것으로 한정하며, 영화용 필름은 제외한다)",111721996.0,22,0.4266,일본,JP,0.624,1596029,70,YELLOW
2520,플라스터(plaster),11190523.0,19,0.4261,태국,TH,0.485,127165,88,YELLOW
3208,기타,267596244.0,43,0.4252,일본,JP,0.6353,695055,385,YELLOW
2715,"역청질(瀝靑質) 혼합물[천연 아스팔트, 천연 역청(瀝靑), 석유역청(瀝靑), 광물성 타르, 광물성 타르 피치(tar pitch)를 기본 재료로 한 것으로 한정한다(예: 역청질 매스틱과 컷백)]",1374592.0,9,0.425,미국,US,0.547,62481,22,YELLOW
3701,그 밖의 플레이트와 필름(각 변의 길이가 255밀리미터를 초과하는 것으로 한정한다),102470171.0,21,0.4218,중국,CN,0.5482,624818,164,YELLOW
2902,기타,838665584.0,28,0.4207,중국,CN,0.5577,1923545,436,YELLOW
2826,기타,86965672.0,20,0.4185,중국,CN,0.5251,644190,135,YELLOW
7216,기타,173444085.0,28,0.4175,일본,JP,0.5585,628421,276,YELLOW
3801,인조흑연,72284812.0,34,0.4142,중국,CN,0.6109,327081,221,YELLOW
7411,정제한 구리로 만든 것,158238377.0,30,0.413,베트남,VN,0.5494,746407,212,YELLOW
2801,요드,11553765.0,12,0.412,일본,JP,0.5767,189406,61,YELLOW
6808,패널ㆍ보드ㆍ타일ㆍ블록과 이와 유사한 물품[식물성 섬유ㆍ짚ㆍ목재의 대팻밥ㆍ칩ㆍ파티클(particle)ㆍ톱밥이나 그 밖의 웨이스트(waste)를 시멘트ㆍ플라스터(plaster)나 그 밖의 광물성 결합재로 응결시킨 것으로 한정한다],2920396.0,13,0.4113,중국,CN,0.616,76853,38,YELLOW
3603,점화기,21472707.0,11,0.4096,미국,US,0.59,456866,47,YELLOW
3817,혼합알킬벤젠과 혼합알킬나프탈렌(제2707호ㆍ제2902호의 물품은 제외한다),5971068.0,8,0.407,태국,TH,0.4682,205899,29,YELLOW
2501,"소금(식탁염과 변성염을 포함한다), 순염화나트륨[수용액(水溶液)인지 또는 고결(固結)방지제나 유동제를 첨가한 것인지에 상관없다]과 바닷물",101301545.0,61,0.407,인도,IN,0.6081,487027,208,YELLOW
2845,기타,155128377.0,20,0.4064,중국,CN,0.6009,1372817,113,YELLOW
3823,기타,379381585.0,29,0.4028,인도네시아,ID,0.5589,1542202,246,YELLOW
2932,기타,210382745.0,44,0.4015,중국,CN,0.6081,451465,466,YELLOW
2526,부수거나 가루인 것,18502824.0,14,0.4003,중국,CN,0.4955,308380,60,YELLOW
3812,기타,87213499.0,30,0.3991,중국,CN,0.5973,447249,195,YELLOW
2911,아세탈ㆍ헤미아세탈(그 밖의 산소관능 결합을 한 것인지에 상관없다)과 이들의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체,1409535.0,16,0.3866,벨기에,BE,0.515,24302,58,YELLOW
7211,기타,9408152.0,20,0.3855,중국,CN,0.568,70210,134,YELLOW
2903,기타,272837010.0,26,0.3855,중국,CN,0.5464,390884,698,YELLOW
2916,기타,248020005.0,40,0.3848,중국,CN,0.5759,380983,651,YELLOW
7608,알루미늄 합금으로 만든 것,16367428.0,31,0.3843,중국,CN,0.5871,117751,139,YELLOW
7229,기타,35535664.0,21,0.3826,중국,CN,0.4844,428141,83,YELLOW
2840,기타,9549225.0,15,0.3814,튀르키예,TR,0.533,78272,122,YELLOW
2529,장석(長石),10004593.0,15,0.3788,중국,CN,0.5444,142923,70,YELLOW
2525,운모 가루,4191467.0,12,0.3778,중국,CN,0.5879,56641,74,YELLOW
7304,기타,350820307.0,46,0.3774,중국,CN,0.5422,551604,636,YELLOW
2941,기타,89935292.0,31,0.372,중국,CN,0.5828,275031,327,YELLOW
7504,니켈의 가루와 플레이크(flake),138273831.0,21,0.3718,일본,JP,0.5286,1975340,70,YELLOW
3909,폴리우레탄,169894313.0,42,0.3682,중국,CN,0.5843,430112,395,YELLOW
3806,로진(rosin)과 수지산,19782789.0,29,0.366,중국,CN,0.5378,136433,145,YELLOW
6911,식탁용품과 주방용품,48957832.0,54,0.3658,중국,CN,0.5807,162651,301,YELLOW
6811,그 밖의 시트(sheet)ㆍ패널ㆍ타일과 이와 유사한 제품,13483891.0,17,0.3654,중국,CN,0.5542,198293,68,YELLOW
2818,산화알루미늄[인조 커런덤(corundum)은 제외한다],163065189.0,33,0.3647,중국,CN,0.5823,754931,216,YELLOW
7409,기타,230287068.0,28,0.3637,중국,CN,0.5522,865741,266,YELLOW
7018,유리로 만든 비드(bead)ㆍ모조 진주ㆍ모조 귀석과 반귀석ㆍ이와 유사한 유리 세공품,31934302.0,37,0.3591,중국,CN,0.5083,152068,210,YELLOW
2850,수소화물ㆍ질화물ㆍ아지드화물ㆍ규화물ㆍ붕화물(화학적으로 단일한 것인지에 상관없으며 제2849호의 탄화물은 제외한다),43420433.0,20,0.3587,중국,CN,0.4448,563902,77,YELLOW
2915,기타,247447159.0,49,0.3564,중국,CN,0.5774,263522,939,YELLOW
2814,암모니아수,356891000.0,14,0.3522,인도네시아,ID,0.4441,5407439,66,YELLOW
2853,기타,33082728.0,32,0.3501,미국,US,0.5352,324340,102,YELLOW
7307,기타,270568437.0,64,0.3498,중국,CN,0.5612,217674,1243,YELLOW
3105,기타,66075571.0,43,0.3476,중국,CN,0.5752,168131,393,YELLOW
3816,"내화시멘트ㆍ내화모르타르ㆍ내화콘크리트와 이와 유사한 혼합물[백운석 래밍믹스(ramming mix)를 포함하며, 제3801호의 물품은 제외한다]",19450212.0,28,0.3471,중국,CN,0.5661,213739,91,YELLOW
3921,기타,630758878.0,50,0.3471,일본,JP,0.4925,1063674,593,YELLOW
6913,기타,4379073.0,44,0.3465,중국,CN,0.572,16587,264,YELLOW
7302,레일(rail),9929061.0,15,0.3456,중국,CN,0.5457,162771,61,YELLOW
4003,재생고무[일차제품(primary form)ㆍ판ㆍ시트(sheet)ㆍ스트립 모양으로 한정한다],9209524.0,9,0.344,중국,CN,0.4465,263129,35,YELLOW
2923,기타,130442894.0,26,0.3426,중국,CN,0.5419,569620,229,YELLOW
2822,"산화코발트, 수산화코발트, 상관습(商慣習)상의 산화코발트",27177572.0,12,0.3413,중국,CN,0.4349,590817,46,YELLOW
2904,술폰화유도체와 이들의 염과 에틸에스테르,22630398.0,23,0.3413,중국,CN,0.5454,108800,208,YELLOW
2842,기타,24866261.0,28,0.341,일본,JP,0.4387,178894,139,YELLOW
2607,납광과 그 정광(精鑛),2708200315.0,12,0.3407,멕시코,MX,0.5538,52080775,52,YELLOW
7401,구리의 매트(mat)와 시멘트동(침전동),309408952.0,26,0.3388,멕시코,MX,0.5572,3363141,92,YELLOW
8113,서멧(cermet)과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다],298614714.0,22,0.3375,중국,CN,0.5312,3779933,79,YELLOW
7326,기타,1152193529.0,103,0.3366,중국,CN,0.5418,1606964,717,YELLOW
7212,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,22188701.0,24,0.3364,일본,JP,0.4741,141329,157,YELLOW
2940,"당류(화학적으로 순수한 것으로 한정하며, 자당ㆍ유당ㆍ맥아당ㆍ포도당ㆍ과당은 제외한다), 당에테르ㆍ당아세탈ㆍ당에스테르와 이들의 염(제2937호ㆍ제2938호ㆍ제2939호의 물품은 제외한다)",38536282.0,26,0.3361,미국,US,0.411,393227,98,YELLOW
3206,기타,205924115.0,38,0.336,중국,CN,0.5497,509713,404,YELLOW
7019,기타,347342098.0,49,0.3353,중국,CN,0.5208,525480,661,YELLOW
3910,실리콘수지[일차제품(primary form)으로 한정한다],258753315.0,36,0.3348,중국,CN,0.5161,1680216,154,YELLOW
2922,기타,235174532.0,45,0.3327,중국,CN,0.5478,291058,808,YELLOW
7221,스테인리스강의 봉[열간(熱間)압연한 것으로서 불규칙적으로 감은 코일 모양인 것으로 한정한다],65230514.0,9,0.3317,대만,TW,0.4505,1976682,33,YELLOW
3907,기타,918200311.0,60,0.3308,중국,CN,0.5333,965510,951,YELLOW
7305,기타,1900997.0,11,0.3277,미국,US,0.4184,37274,51,YELLOW
3207,액체 상태 러스터(lustre)와 이와 유사한 조제품,138461755.0,37,0.3222,중국,CN,0.521,477454,290,YELLOW
2614,티타늄광과 그 정광(精鑛),19561942.0,10,0.3208,노르웨이,NO,0.4793,575351,34,YELLOW
2843,그 밖의 화합물과 아말감(amalgam),172103112.0,25,0.3193,독일,DE,0.4673,843643,204,YELLOW
7204,기타,454129311.0,56,0.3191,일본,JP,0.5322,1308730,347,YELLOW
2523,알루미나(aluminous) 시멘트,33097613.0,21,0.3177,베트남,VN,0.3703,275813,120,YELLOW
6903,기타,74184671.0,30,0.3156,중국,CN,0.4678,367251,202,YELLOW
3803,톨유(tall oil)(정제한 것인지에 상관없다),1980167.0,9,0.3156,미국,US,0.3569,79207,25,YELLOW
2837,시안착염,2112639.0,10,0.3149,체코공화국,CZ,0.3991,34633,61,YELLOW
2513,부석,4204797.0,15,0.3123,중국,CN,0.438,63709,66,YELLOW
2918,기타,190455341.0,38,0.31,중국,CN,0.4684,226733,840,YELLOW
7225,"기타[코일 모양은 제외하고, 열간(熱間)압연보다 더 가공하지 않은 것으로 한정한다]",234960240.0,23,0.3084,중국,CN,0.4192,1157440,203,YELLOW
2703,"토탄(토탄 찌꺼기를 포함하며, 응결시킨 것인지에 상관없다)",16767199.0,16,0.3063,라트비아,LV,0.5063,299414,56,YELLOW
2812,기타,64456082.0,17,0.3046,중국,CN,0.4216,388290,166,YELLOW
2942,그 밖의 유기화합물,11262981.0,33,0.3046,인도,IN,0.3866,97939,115,YELLOW
2522,생석회(生石灰),5207333.0,11,0.3044,말레이시아,MY,0.4839,85366,61,YELLOW
3903,기타,88205892.0,44,0.3002,중국,CN,0.507,229703,384,YELLOW
2933,기타,744713552.0,52,0.2993,중국,CN,0.5096,652113,1142,YELLOW
2936,그 밖의 비타민과 이들의 유도체,138938478.0,29,0.2985,중국,CN,0.4824,248994,558,YELLOW
3602,폭약(화약은 제외한다),5043217.0,6,0.2977,스웨덴,SE,0.3879,458474,11,YELLOW
3919,기타,313784091.0,74,0.2972,일본,JP,0.3955,604594,519,YELLOW
7011,기타,1044089.0,10,0.2969,중국,CN,0.4917,19700,53,YELLOW
2817,산화아연과 과산화아연,7872441.0,26,0.2969,인도네시아,ID,0.4912,93720,84,YELLOW
3205,레이크 안료와 이들을 기본 재료로 한 조제품(이 류의 주 제3호의 것으로 한정한다),2664296.0,17,0.2955,페루,PE,0.4939,35057,76,YELLOW
3916,그 밖의 플라스틱으로 만든 것,52208602.0,35,0.295,중국,CN,0.488,221223,236,YELLOW
6912,도자제의 식탁용품ㆍ주방용품ㆍ그 밖의 가정용품ㆍ화장용품(자기제의 것은 제외한다),30501755.0,59,0.295,중국,CN,0.4666,132616,230,YELLOW
7508,기타,55646965.0,37,0.2937,미국,US,0.5135,304082,183,YELLOW
7020,유리로 만든 그 밖의 제품,189097854.0,45,0.2935,중국,CN,0.4319,1000518,189,YELLOW
3506,"글루(glue)나 접착제로 사용하기에 적합한 물품[소매용으로 한 글루(glue)나 접착제로서, 순중량이 1킬로그램 이하인 것으로 한정한다]",182313935.0,56,0.2916,일본,JP,0.4872,392918,464,YELLOW
7001,"깨진 유리, 유리의 그 밖의 웨이스트(waste)ㆍ스크랩(scrap)[제8549호의 음극선관에서 얻어진 유리와 그 밖의 활성화된 유리를 제외한다], 유리 괴(塊)",1820744.0,6,0.2906,중국,CN,0.4179,75864,24,YELLOW
2935,기타,48579315.0,26,0.2901,중국,CN,0.4488,437651,111,YELLOW
7006,"제7003호ㆍ제7004호ㆍ제7005호의 유리(구부린 것ㆍ가장자리 가공한 것ㆍ조각한 것ㆍ구멍을 뚫은 것ㆍ에나멜을 칠한 것이나 그 밖의 방법으로 가공한 것으로 한정하며, 프레임을 붙인 것이나 그 밖의 재료를 붙인 것은 제외한다)",315808279.0,23,0.2882,일본,JP,0.3759,3395788,93,YELLOW
2505,규사,19713940.0,28,0.2872,베트남,VN,0.4491,185981,106,YELLOW
7223,스테인리스강의 선(線),45202762.0,26,0.2872,중국,CN,0.4707,480880,94,YELLOW
2508,벤토나이트(bentonite),28236285.0,39,0.2852,중국,CN,0.4704,124389,227,YELLOW
3904,기타,210537755.0,36,0.2833,중국,CN,0.4658,581596,362,YELLOW
2831,아이티온산나트륨과 술폭실산나트륨,3252016.0,9,0.2825,중국,CN,0.3612,65040,50,YELLOW
2512,규조토[예: 키절구어(kieselguhr)ㆍ트리폴리트(tripolite)ㆍ다이어토마이트(diatomite)]와 이와 유사한 규산질의 흙[하소(煆燒)한 것인지에 상관없으며 겉보기 비중이 1 이하인 것으로 한정한다],1597454.0,14,0.2824,멕시코,MX,0.3293,31949,50,YELLOW
3920,그 밖의 플라스틱으로 만든 것,985875171.0,65,0.2813,일본,JP,0.3947,764837,1289,YELLOW
2921,기타,265938878.0,41,0.2809,중국,CN,0.4912,317349,838,YELLOW
2928,히드라진ㆍ히드록실아민의 유기 유도체,14407932.0,25,0.2799,중국,CN,0.402,150083,96,YELLOW
3913,기타,177333172.0,41,0.2792,스웨덴,SE,0.4677,764367,232,YELLOW
7108,그 밖의 반가공한 모양인 것,3189398747.0,30,0.2788,호주,AU,0.436,18872182,169,YELLOW
2930,기타,190884765.0,34,0.2751,중국,CN,0.4628,757479,252,YELLOW
2929,기타,70264329.0,26,0.2742,중국,CN,0.37,444711,158,YELLOW
3505,덱스트린과 그 밖의 변성전분,81333868.0,29,0.2726,태국,TH,0.4868,557081,146,YELLOW
3821,미생물(바이러스와 이와 유사한 것을 포함한다)ㆍ식물ㆍ인간ㆍ동물 세포의 성장이나 보존을 위한 조제 배양제,157919610.0,33,0.2703,미국,US,0.4756,1067024,148,YELLOW
7506,니켈 합금으로 만든 것,58583002.0,16,0.2679,일본,JP,0.3647,650922,90,YELLOW
2827,기타,112910133.0,38,0.2654,중국,CN,0.3454,190405,593,YELLOW
