hs_code,hs_level,ksic_mid,confidence,source
742201,6,전자부품·컴퓨터 제조업,0.7,수작업
742202,6,전기장비 제조업,0.7,수작업
742203,6,전자부품·컴퓨터 제조업,0.7,수작업
742204,6,전자부품·컴퓨터 제조업,0.7,수작업
742205,6,전자부품·컴퓨터 제조업,0.7,수작업
7423,4,전기장비 제조업,0.9,통계청연계표
742300,6,전기장비 제조업,0.7,수작업
742301,6,전기장비 제조업,0.7,수작업
742302,6,전기장비 제조업,0.7,수작업
742303,6,전기장비 제조업,0.7,수작업
7424,4,화학물질 및 화학제품 제조업,0.9,통계청연계표
742401,6,화학물질 및 화학제품 제조업,0.7,수작업
742402,6,화학물질 및 화학제품 제조업,0.7,수작업
742403,6,화학물질 및 화학제품 제조업,0.7,수작업
742404,6,화학물질 및 화학제품 제조업,0.7,수작업
742405,6,금속가공제품 제조업,0.7,수작업
7425,4,1차 금속 제조업,0.9,통계청연계표
742500,6,1차 금속 제조업,0.7,수작업
742501,6,화학물질 및 화학제품 제조업,0.7,수작업
742502,6,1차 금속 제조업,0.7,수작업
742503,6,1차 금속 제조업,0.7,수작업
742504,6,1차 금속 제조업,0.7,수작업
742505,6,1차 금속 제조업,0.7,수작업
742506,6,1차 금속 제조업,0.7,수작업
7426,4,전기장비 제조업,0.9,통계청연계표
742600,6,전기장비 제조업,0.7,수작업
742601,6,전기장비 제조업,0.7,수작업
742602,6,전기장비 제조업,0.7,수작업
742603,6,전자부품·컴퓨터 제조업,0.7,수작업
742604,6,전기장비 제조업,0.7,수작업
7427,4,전기장비 제조업,0.9,통계청연계표
742700,6,전기장비 제조업,0.7,수작업
742701,6,전기장비 제조업,0.7,수작업
742702,6,전기장비 제조업,0.7,수작업
742703,6,전기장비 제조업,0.7,수작업
742704,6,전기장비 제조업,0.7,수작업
742705,6,전기장비 제조업,0.7,수작업
742706,6,전기장비 제조업,0.7,수작업
742707,6,전기장비 제조업,0.7,수작업
7428,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
742800,6,전자부품·컴퓨터 제조업,0.7,수작업
742801,6,전자부품·컴퓨터 제조업,0.7,수작업
742802,6,전자부품·컴퓨터 제조업,0.7,수작업
742803,6,전자부품·컴퓨터 제조업,0.7,수작업
742804,6,전자부품·컴퓨터 제조업,0.7,수작업
742805,6,전자부품·컴퓨터 제조업,0.7,수작업
742806,6,전자부품·컴퓨터 제조업,0.7,수작업
742807,6,전자부품·컴퓨터 제조업,0.7,수작업
7429,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
742900,6,1차 금속 제조업,0.7,수작업
742901,6,전자부품·컴퓨터 제조업,0.7,수작업
742902,6,전자부품·컴퓨터 제조업,0.7,수작업
742903,6,기타 기계 및 장비 제조업,0.7,수작업
742904,6,기타 기계 및 장비 제조업,0.7,수작업
742905,6,기타 기계 및 장비 제조업,0.7,수작업
8500,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
850000,6,전자부품·컴퓨터 제조업,0.7,수작업
850001,6,전자부품·컴퓨터 제조업,0.7,수작업
850002,6,전자부품·컴퓨터 제조업,0.7,수작업
850003,6,전자부품·컴퓨터 제조업,0.7,수작업
850004,6,전자부품·컴퓨터 제조업,0.7,수작업
8501,4,금속가공제품 제조업,0.9,통계청연계표
850100,6,금속가공제품 제조업,0.7,수작업
850101,6,금속가공제품 제조업,0.7,수작업
850102,6,금속가공제품 제조업,0.7,수작업
850103,6,금속가공제품 제조업,0.7,수작업
850104,6,금속가공제품 제조업,0.7,수작업
850105,6,금속가공제품 제조업,0.7,수작업
8502,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
850201,6,전자부품·컴퓨터 제조업,0.7,수작업
850202,6,기타 기계 및 장비 제조업,0.7,수작업
850203,6,전자부품·컴퓨터 제조업,0.7,수작업
850204,6,전자부품·컴퓨터 제조업,0.7,수작업
850205,6,전자부품·컴퓨터 제조업,0.7,수작업
850206,6,전자부품·컴퓨터 제조업,0.7,수작업
8503,4,기타 기계 및 장비 제조업,0.9,통계청연계표
850300,6,기타 기계 및 장비 제조업,0.7,수작업
850301,6,기타 기계 및 장비 제조업,0.7,수작업
850302,6,기타 기계 및 장비 제조업,0.7,수작업
850303,6,기타 기계 및 장비 제조업,0.7,수작업
850304,6,기타 기계 및 장비 제조업,0.7,수작업
8504,4,전기장비 제조업,0.9,통계청연계표
850400,6,전기장비 제조업,0.7,수작업
850401,6,전기장비 제조업,0.7,수작업
850402,6,전기장비 제조업,0.7,수작업
850403,6,전기장비 제조업,0.7,수작업
850404,6,전기장비 제조업,0.7,수작업
8505,4,기타 기계 및 장비 제조업,0.9,통계청연계표
850500,6,기타 기계 및 장비 제조업,0.7,수작업
850501,6,기타 기계 및 장비 제조업,0.7,수작업
850503,6,기타 기계 및 장비 제조업,0.7,수작업
850504,6,기타 기계 및 장비 제조업,0.7,수작업
850505,6,1차 금속 제조업,0.7,수작업
8506,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
850600,6,전자부품·컴퓨터 제조업,0.7,수작업
850601,6,전자부품·컴퓨터 제조업,0.7,수작업
850602,6,전자부품·컴퓨터 제조업,0.7,수작업
850603,6,전자부품·컴퓨터 제조업,0.7,수작업
850605,6,전자부품·컴퓨터 제조업,0.7,수작업
850606,6,전자부품·컴퓨터 제조업,0.7,수작업
850607,6,전자부품·컴퓨터 제조업,0.7,수작업
8507,4,화학물질 및 화학제품 제조업,0.9,통계청연계표
850700,6,화학물질 및 화학제품 제조업,0.7,수작업
850701,6,화학물질 및 화학제품 제조업,0.7,수작업
850702,6,화학물질 및 화학제품 제조업,0.7,수작업
850703,6,화학물질 및 화학제품 제조업,0.7,수작업
850704,6,화학물질 및 화학제품 제조업,0.7,수작업
8508,4,화학물질 및 화학제품 제조업,0.9,통계청연계표
850800,6,화학물질 및 화학제품 제조업,0.7,수작업
850801,6,화학물질 및 화학제품 제조업,0.7,수작업
850802,6,화학물질 및 화학제품 제조업,0.7,수작업
850803,6,화학물질 및 화학제품 제조업,0.7,수작업
850804,6,화학물질 및 화학제품 제조업,0.7,수작업
8509,4,전기장비 제조업,0.9,통계청연계표
850900,6,전기장비 제조업,0.7,수작업
850901,6,전기장비 제조업,0.7,수작업
850902,6,전기장비 제조업,0.7,수작업
850903,6,전기장비 제조업,0.7,수작업
850904,6,전기장비 제조업,0.7,수작업
850905,6,전기장비 제조업,0.7,수작업
850906,6,전기장비 제조업,0.7,수작업
8510,4,화학물질 및 화학제품 제조업,0.9,통계청연계표
851000,6,화학물질 및 화학제품 제조업,0.7,수작업
851001,6,화학물질 및 화학제품 제조업,0.7,수작업
851002,6,금속가공제품 제조업,0.7,수작업
851003,6,화학물질 및 화학제품 제조업,0.7,수작업
851004,6,화학물질 및 화학제품 제조업,0.7,수작업
851005,6,화학물질 및 화학제품 제조업,0.7,수작업
851006,6,화학물질 및 화학제품 제조업,0.7,수작업
8511,4,1차 금속 제조업,0.9,통계청연계표
851100,6,1차 금속 제조업,0.7,수작업
851101,6,1차 금속 제조업,0.7,수작업
851102,6,1차 금속 제조업,0.7,수작업
851103,6,1차 금속 제조업,0.7,수작업
851104,6,1차 금속 제조업,0.7,수작업
8512,4,기타 기계 및 장비 제조업,0.9,통계청연계표
851200,6,기타 기계 및 장비 제조업,0.7,수작업
851202,6,기타 기계 및 장비 제조업,0.7,수작업
851203,6,기타 기계 및 장비 제조업,0.7,수작업
851205,6,기타 기계 및 장비 제조업,0.7,수작업
8513,4,금속가공제품 제조업,0.9,통계청연계표
851300,6,금속가공제품 제조업,0.7,수작업
851302,6,금속가공제품 제조업,0.7,수작업
851303,6,금속가공제품 제조업,0.7,수작업
851305,6,금속가공제품 제조업,0.7,수작업
8514,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
851400,6,전자부품·컴퓨터 제조업,0.7,수작업
851401,6,전자부품·컴퓨터 제조업,0.7,수작업
851402,6,전자부품·컴퓨터 제조업,0.7,수작업
851403,6,전자부품·컴퓨터 제조업,0.7,수작업
851404,6,전자부품·컴퓨터 제조업,0.7,수작업
851407,6,전자부품·컴퓨터 제조업,0.7,수작업
8515,4,기타 기계 및 장비 제조업,0.9,통계청연계표
851500,6,기타 기계 및 장비 제조업,0.7,수작업
851501,6,기타 기계 및 장비 제조업,0.7,수작업
851502,6,기타 기계 및 장비 제조업,0.7,수작업
851503,6,기타 기계 및 장비 제조업,0.7,수작업
851504,6,기타 기계 및 장비 제조업,0.7,수작업
851505,6,기타 기계 및 장비 제조업,0.7,수작업
8516,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
851600,6,전자부품·컴퓨터 제조업,0.7,수작업
851601,6,전자부품·컴퓨터 제조업,0.7,수작업
851602,6,전자부품·컴퓨터 제조업,0.7,수작업
851603,6,전자부품·컴퓨터 제조업,0.7,수작업
851604,6,전자부품·컴퓨터 제조업,0.7,수작업
851605,6,전자부품·컴퓨터 제조업,0.7,수작업
8517,4,1차 금속 제조업,0.9,통계청연계표
851700,6,1차 금속 제조업,0.7,수작업
851701,6,1차 금속 제조업,0.7,수작업
851702,6,1차 금속 제조업,0.7,수작업
851703,6,기타 기계 및 장비 제조업,0.7,수작업
851704,6,1차 금속 제조업,0.7,수작업
8518,4,화학물질 및 화학제품 제조업,0.9,통계청연계표
851800,6,화학물질 및 화학제품 제조업,0.7,수작업
851801,6,화학물질 및 화학제품 제조업,0.7,수작업
851803,6,화학물질 및 화학제품 제조업,0.7,수작업
851804,6,화학물질 및 화학제품 제조업,0.7,수작업
851805,6,화학물질 및 화학제품 제조업,0.7,수작업
8519,4,전기장비 제조업,0.9,통계청연계표
851900,6,전기장비 제조업,0.7,수작업
851901,6,전기장비 제조업,0.7,수작업
851902,6,전기장비 제조업,0.7,수작업
8520,4,금속가공제품 제조업,0.9,통계청연계표
852000,6,금속가공제품 제조업,0.7,수작업
852001,6,금속가공제품 제조업,0.7,수작업
852002,6,금속가공제품 제조업,0.7,수작업
852003,6,금속가공제품 제조업,0.7,수작업
8521,4,화학물질 및 화학제품 제조업,0.9,통계청연계표
852100,6,기타 기계 및 장비 제조업,0.7,수작업
852101,6,화학물질 및 화학제품 제조업,0.7,수작업
852102,6,화학물질 및 화학제품 제조업,0.7,수작업
852103,6,화학물질 및 화학제품 제조업,0.7,수작업
852104,6,화학물질 및 화학제품 제조업,0.7,수작업
852105,6,화학물질 및 화학제품 제조업,0.7,수작업
852106,6,화학물질 및 화학제품 제조업,0.7,수작업
8522,4,전기장비 제조업,0.9,통계청연계표
852201,6,전기장비 제조업,0.7,수작업
852203,6,전기장비 제조업,0.7,수작업
852204,6,전기장비 제조업,0.7,수작업
852205,6,전기장비 제조업,0.7,수작업
852206,6,화학물질 및 화학제품 제조업,0.7,수작업
8523,4,화학물질 및 화학제품 제조업,0.9,통계청연계표
852300,6,화학물질 및 화학제품 제조업,0.7,수작업
852302,6,화학물질 및 화학제품 제조업,0.7,수작업
852303,6,화학물질 및 화학제품 제조업,0.7,수작업
852304,6,화학물질 및 화학제품 제조업,0.7,수작업
8524,4,기타 기계 및 장비 제조업,0.9,통계청연계표
852400,6,기타 기계 및 장비 제조업,0.7,수작업
852401,6,기타 기계 및 장비 제조업,0.7,수작업
852404,6,기타 기계 및 장비 제조업,0.7,수작업
852405,6,기타 기계 및 장비 제조업,0.7,수작업
8525,4,전기장비 제조업,0.9,통계청연계표
852501,6,전기장비 제조업,0.7,수작업
852502,6,전기장비 제조업,0.7,수작업
852503,6,1차 금속 제조업,0.7,수작업
852504,6,기타 기계 및 장비 제조업,0.7,수작업
852505,6,전기장비 제조업,0.7,수작업
8526,4,기타 기계 및 장비 제조업,0.9,통계청연계표
852600,6,기타 기계 및 장비 제조업,0.7,수작업
852601,6,화학물질 및 화학제품 제조업,0.7,수작업
852602,6,기타 기계 및 장비 제조업,0.7,수작업
852603,6,기타 기계 및 장비 제조업,0.7,수작업
852604,6,기타 기계 및 장비 제조업,0.7,수작업
852605,6,기타 기계 및 장비 제조업,0.7,수작업
8527,4,전기장비 제조업,0.9,통계청연계표
852700,6,전기장비 제조업,0.7,수작업
852701,6,전기장비 제조업,0.7,수작업
852702,6,전기장비 제조업,0.7,수작업
852703,6,전기장비 제조업,0.7,수작업
852704,6,전기장비 제조업,0.7,수작업
8528,4,화학물질 및 화학제품 제조업,0.9,통계청연계표
852801,6,화학물질 및 화학제품 제조업,0.7,수작업
852802,6,화학물질 및 화학제품 제조업,0.7,수작업
852803,6,화학물질 및 화학제품 제조업,0.7,수작업
852804,6,화학물질 및 화학제품 제조업,0.7,수작업
852805,6,1차 금속 제조업,0.7,수작업
852806,6,1차 금속 제조업,0.7,수작업
852807,6,화학물질 및 화학제품 제조업,0.7,수작업
8529,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
852900,6,전자부품·컴퓨터 제조업,0.7,수작업
852901,6,전자부품·컴퓨터 제조업,0.7,수작업
852902,6,전자부품·컴퓨터 제조업,0.7,수작업
852903,6,금속가공제품 제조업,0.7,수작업
852904,6,전자부품·컴퓨터 제조업,0.7,수작업
